# ./sample_venc 0
READ_REG A= 0x311F, D= 0x0 
READ_REG A= 0x3120, D= 0x1 
READ_REG A= 0x3121, D= 0x0 
READ_REG A= 0x3122, D= 0x0 
READ_REG A= 0x3123, D= 0x40 
READ_REG A= 0x3124, D= 0x0 
READ_REG A= 0x3125, D= 0x0 
READ_REG A= 0x3126, D= 0x0 
READ_REG A= 0x3127, D= 0x0 
READ_REG A= 0x3128, D= 0x5 
READ_REG A= 0x3129, D= 0x0 
READ_REG A= 0x312A, D= 0x0 
READ_REG A= 0x312B, D= 0x0 
READ_REG A= 0x312C, D= 0x0 
READ_REG A= 0x312D, D= 0x0 
READ_REG A= 0x312E, D= 0x0 
READ_REG A= 0x312F, D= 0x23 
READ_REG A= 0x3130, D= 0x6 
READ_REG A= 0x3131, D= 0x0 
READ_REG A= 0x3132, D= 0x30 
READ_REG A= 0x3133, D= 0x0 
READ_REG A= 0x3134, D= 0x0 
READ_REG A= 0x3135, D= 0x1 
READ_REG A= 0x3136, D= 0x0 
READ_REG A= 0x3137, D= 0x1F 
READ_REG A= 0x3138, D= 0x0 
READ_REG A= 0x3139, D= 0x0 
READ_REG A= 0x313A, D= 0x82 
READ_REG A= 0x313B, D= 0x51 
READ_REG A= 0x313C, D= 0x41 
READ_REG A= 0x313D, D= 0x83 
READ_REG A= 0x313E, D= 0x0 
READ_REG A= 0x313F, D= 0x0 
READ_REG A= 0x3140, D= 0x15 
READ_REG A= 0x3141, D= 0x15 
READ_REG A= 0x3142, D= 0x7 
READ_REG A= 0x3143, D= 0x7 
READ_REG A= 0x3144, D= 0x0 
READ_REG A= 0x3145, D= 0x0 
READ_REG A= 0x3146, D= 0x0 
READ_REG A= 0x3147, D= 0x0 
READ_REG A= 0x3148, D= 0x0 
READ_REG A= 0x3149, D= 0x0 
READ_REG A= 0x314A, D= 0x3 
READ_REG A= 0x314B, D= 0x0 
READ_REG A= 0x314C, D= 0x0 
READ_REG A= 0x314D, D= 0x4 
READ_REG A= 0x314E, D= 0x24 
READ_REG A= 0x314F, D= 0x0 
READ_REG A= 0x3150, D= 0x3 
READ_REG A= 0x3151, D= 0x0 
READ_REG A= 0x3152, D= 0x7 
READ_REG A= 0x3153, D= 0x40 
READ_REG A= 0x3154, D= 0x1 
READ_REG A= 0x3155, D= 0x2 
READ_REG A= 0x3156, D= 0x2 
READ_REG A= 0x3157, D= 0x0 
READ_REG A= 0x3158, D= 0xFF 
READ_REG A= 0x3159, D= 0x83 
READ_REG A= 0x315A, D= 0x0 
READ_REG A= 0x315B, D= 0x80 
READ_REG A= 0x315C, D= 0xD8 
READ_REG A= 0x315D, D= 0x7D 
READ_REG A= 0x315E, D= 0x1A 
READ_REG A= 0x315F, D= 0x80 
READ_REG A= 0x3160, D= 0x0 
READ_REG A= 0x3161, D= 0x0 
READ_REG A= 0x3162, D= 0x0 
READ_REG A= 0x3163, D= 0x1 
READ_REG A= 0x3164, D= 0x1A 
READ_REG A= 0x3165, D= 0x0 
READ_REG A= 0x3166, D= 0x0 
READ_REG A= 0x3167, D= 0x2 
READ_REG A= 0x3168, D= 0x4 
READ_REG A= 0x3169, D= 0x0 
READ_REG A= 0x316A, D= 0x10 
READ_REG A= 0x316B, D= 0x0 
READ_REG A= 0x316C, D= 0x0 
READ_REG A= 0x316D, D= 0x0 
READ_REG A= 0x316E, D= 0xFF 
READ_REG A= 0x316F, D= 0x1 
READ_REG A= 0x3170, D= 0x0 
READ_REG A= 0x3171, D= 0x2 
READ_REG A= 0x3172, D= 0x0 
READ_REG A= 0x3173, D= 0x0 
READ_REG A= 0x3174, D= 0x5 
READ_REG A= 0x3175, D= 0x0 
READ_REG A= 0x3176, D= 0x0 
READ_REG A= 0x3177, D= 0x0 
READ_REG A= 0x3178, D= 0x0 
READ_REG A= 0x3179, D= 0x0 
READ_REG A= 0x317A, D= 0xFE 
READ_REG A= 0x317B, D= 0x3 
READ_REG A= 0x317C, D= 0x0 
READ_REG A= 0x317D, D= 0x0 
READ_REG A= 0x317E, D= 0x0 
READ_REG A= 0x317F, D= 0x0 
READ_REG A= 0x3180, D= 0xA5 
READ_REG A= 0x3181, D= 0x7 
READ_REG A= 0x3182, D= 0x0 
READ_REG A= 0x3183, D= 0x0 
READ_REG A= 0x3184, D= 0x2 
READ_REG A= 0x3185, D= 0x0 
READ_REG A= 0x3186, D= 0xD 
READ_REG A= 0x3187, D= 0x0 
READ_REG A= 0x3188, D= 0x32 
READ_REG A= 0x3189, D= 0x0 
READ_REG A= 0x318A, D= 0x7A 
READ_REG A= 0x318B, D= 0x4 
READ_REG A= 0x318C, D= 0xFC 
READ_REG A= 0x318D, D= 0x3 
READ_REG A= 0x318E, D= 0xFC 
READ_REG A= 0x318F, D= 0x3 
READ_REG A= 0x3190, D= 0x6 
READ_REG A= 0x3191, D= 0x0 
READ_REG A= 0x3192, D= 0x0 
READ_REG A= 0x3193, D= 0x2 
READ_REG A= 0x3194, D= 0x6 
READ_REG A= 0x3195, D= 0x1E 
READ_REG A= 0x3196, D= 0x21 
READ_REG A= 0x3197, D= 0x0 
READ_REG A= 0x3198, D= 0xB8 
READ_REG A= 0x3199, D= 0x0 
READ_REG A= 0x319A, D= 0xD0 
READ_REG A= 0x319B, D= 0x7 
READ_REG A= 0x319C, D= 0x9C 
READ_REG A= 0x319D, D= 0x4 
READ_REG A= 0x319E, D= 0x9B 
READ_REG A= 0x319F, D= 0x4 
READ_REG A= 0x31A0, D= 0xFC 
READ_REG A= 0x31A1, D= 0x0 
READ_REG A= 0x31A2, D= 0x6 
READ_REG A= 0x31A3, D= 0x0 
READ_REG A= 0x31A4, D= 0xEC 
READ_REG A= 0x31A5, D= 0x1 
READ_REG A= 0x31A6, D= 0x0 
READ_REG A= 0x31A7, D= 0x0 
READ_REG A= 0x31A8, D= 0x6 
READ_REG A= 0x31A9, D= 0x6 
READ_REG A= 0x31AA, D= 0x50 
READ_REG A= 0x31AB, D= 0x0 
READ_REG A= 0x31AC, D= 0x2 
READ_REG A= 0x31AD, D= 0x1 
READ_REG A= 0x31AE, D= 0x0 
READ_REG A= 0x31AF, D= 0x0 
READ_REG A= 0x31B0, D= 0x0 
READ_REG A= 0x31B1, D= 0x0 
READ_REG A= 0x31B2, D= 0x0 
READ_REG A= 0x31B3, D= 0x0 
READ_REG A= 0x31B4, D= 0x0 
READ_REG A= 0x31B5, D= 0x0 
READ_REG A= 0x31B6, D= 0x0 
READ_REG A= 0x31B7, D= 0x0 
READ_REG A= 0x31B8, D= 0x0 
READ_REG A= 0x31B9, D= 0x9B 
